fecha	incidentes
2023-11-18	1804
2023-11-19	2209
2023-11-20	1561
2023-11-21	1684
2023-11-22	1667
2023-11-23	1845
2023-11-24	1897
2023-11-25	1796
2023-11-26	1868
2023-11-27	1720
2023-11-28	1561
2023-11-29	1568
2023-11-30	1437
2023-12-01	2136
2023-12-02	2312
2023-12-03	2165
2023-12-04	1741
2023-12-05	1716
2023-12-06	1576
2023-12-07	1906
2023-12-08	3143
2023-12-09	1686
2023-12-10	1580
2023-12-11	1619
2023-12-12	1667
2023-12-13	1670
2023-12-14	1689
2023-12-15	1821
2023-12-16	2138
2023-12-17	2024
2023-12-18	2020
2023-12-19	1859
2023-12-20	1992
2023-12-21	1826
2023-12-22	1930
2023-12-23	2079
2023-12-24	2098
2023-12-25	3233
2023-12-26	1534
2023-12-27	1552
2023-12-28	1644
2023-12-29	1600
2023-12-30	1561
2023-12-31	1464
